string,prefix,word,sep,pos,year,rel_freq
hyperstimulation,hyper,stimulation,FUSION,Nom,1826,0.002944002487846966
superfin,super,fin,FUSION,Adj_Nom_Adv,1826,0.24140820400345125
superfines,super,fines,FUSION,Adj_Nom,1826,0.2178561841006755
superfins,super,fins,FUSION,Adj_Nom,1826,0.08537607214756203
superfluide,super,fluide,FUSION,Adj_Nom,1826,0.002944002487846966
supernaturel,super,naturel,FUSION,Adj_Nom,1826,0.011776009951387865
supernaturelle,super,naturelle,FUSION,Adj_Nom,1826,0.0088320074635409
supernormale,super,normale,FUSION,Adj_Nom,1826,0.002944002487846966
supersaturation,super,saturation,FUSION,Nom,1826,0.005888004975693932
supersécrétion,super,sécrétion,FUSION,Nom,1826,0.0441600373177045
superville,super,ville,FUSION,Nom,1826,0.02060801741492876
super fin,super,fin,ESPACE,Adj_Nom_Adv,1826,0.002944002487846966
archi - catholique,archi,catholique,TIRET,Adj_Nom,1826,0.002944002487846966
